,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,cp_score_126,cp_rl_126,cp_score_21,cp_rl_21
2016,0.3904199,0.037519306,0.08422895,0.052144263,0.08099148,0.07015849,0.04748238,0.06521133,0.0501899,0.046176344,0.03942274,0.036043666
2017,0.3924879,0.08208485,0.090949,0.047701854,0.09222751,0.067926235,0.057133187,0.051960096,0.013279108,0.010206736,0.033060815,0.060970742
2018,0.2911826,0.079637975,0.10921289,0.049168475,0.09496331,0.06953594,0.039656065,0.0566639,0.060200963,0.00873272,0.05233084,0.08870741
2019,0.31581637,0.06145538,0.120582685,0.030867755,0.097118065,0.11904829,0.037504658,0.06555593,0.037331015,0.016147183,0.012397758,0.08618258
2020,0.29361826,0.056747433,0.069753364,0.056119695,0.07920133,0.05689392,0.07292857,0.069951594,0.053766653,0.035246138,0.08390907,0.07185861
