,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,cp_score_126,cp_rl_126,cp_score_21,cp_rl_21,rsi_7,rsi_14,rsi_21,k_14,k_21
2016,0.18533547,0.08691963,0.07215548,0.010642004,0.040687133,0.07083946,0.055015475,0.01778093,0.049715817,0.054681942,0.03749501,0.012045432,0.026775824,0.045055814,0.026641348,0.07579738,0.13241081
2017,0.34406626,0.050867252,0.088239595,0.06399257,0.08560478,0.029910073,0.04135511,0.021011123,0.008054741,0.017304996,0.010573896,0.10703724,0.03835701,0.009987848,0.016373113,0.04788148,0.019384906
2018,0.26832208,0.033431623,0.0675393,0.09023709,0.12803556,0.07382304,0.03783766,0.018014155,0.025036704,0.009640271,0.02638298,0.07400699,0.0093464805,0.014771371,0.01947254,0.024432203,0.079683155
2019,0.24539568,0.08230054,0.05012833,0.075303845,0.08761336,0.05653967,0.024343904,0.04267214,0.010801147,0.05441767,0.044038072,0.059035067,0.011557653,0.022241138,0.01654979,0.06430656,0.052773185
2020,0.24098562,0.07071248,0.06867808,0.07529005,0.08860814,0.053115714,0.06178756,0.061192133,0.0040931953,0.053095926,0.035586607,0.0316058,0.015918754,0.014284347,0.005309217,0.09765717,0.022089222
