,identifier,time,returns,position,captured_returns,daily_vol,captured_returns_0_5_bps,captured_returns_1_0_bps,captured_returns_1_5_bps,captured_returns_2_0_bps,captured_returns_2_5_bps,captured_returns_3_0_bps
0,ICE_SB,2020-01-02,0.0109683040839071,-0.9053323,-0.009929960258310154,0.0118102552899161,-0.009929960258310154,-0.009929960258310154,-0.009929960258310154,-0.009929960258310154,-0.009929960258310154,-0.009929960258310154
1,ICE_SB,2020-01-03,0.0251717896910733,0.26719278,0.006725720489588292,0.011845356312979,0.006678846651432498,0.006631972813276704,0.0065850989751209095,0.0065382251369651145,0.00649135129880932,0.006444477460653526
2,ICE_SB,2020-01-06,-0.0074905947663758,-0.08374721,0.000627316398830562,0.0128627012942009,0.0006135832429862361,0.00059985008714191,0.000586116931297584,0.0005723837754532579,0.0005586506196089319,0.0005449174637646058
3,ICE_SB,2020-01-07,-0.0064960960838919,-0.941607,0.006116769535154699,0.0128440012168758,0.006085209416467413,0.0060536492977801264,0.00602208917909284,0.0059905290604055535,0.005958968941718268,0.005927408823030981
4,ICE_SB,2020-01-08,0.0131791971441004,0.30185613,0.00397822145119023,0.0127745520481756,0.003932421356822698,0.003886621262455167,0.0038408211680876353,0.003795021073720104,0.0037492209793525723,0.0037034208849850408
5,ICE_SB,2020-01-09,0.0192287661357318,0.32178563,0.006187540601950454,0.0129034135698823,0.006186922377887917,0.00618630415382538,0.006185685929762843,0.006185067705700306,0.006184449481637769,0.006183831257575232
6,ICE_SB,2020-01-10,0.0045042572981756,0.25915545,0.0011673028371655212,0.013418878164444,0.0011646451457728317,0.001161987454380142,0.0011593297629874525,0.001156672071594763,0.0011540143802020735,0.0011513566888093837
7,ICE_SB,2020-01-13,0.008080545469876,-0.15477931,-0.0012507012926118387,0.0132131705145257,-0.0012653600632725067,-0.0012800188339331749,-0.0012946776045938428,-0.001309336375254511,-0.001323995145915179,-0.001338653916575847
8,ICE_SB,2020-01-14,0.010087706177667,-0.1039245,-0.0010483598001021885,0.0130823433220211,-0.0010501410251022069,-0.0010519222501022252,-0.0010537034751022436,-0.001055484700102262,-0.0010572659251022803,-0.0010590471501022987
9,ICE_SB,2020-01-15,-0.0045012697723945,-0.096102566,0.00043258357325607705,0.0130116340302395,0.00043231995252859584,0.00043205633180111463,0.0004317927110736335,0.00043152909034615227,0.00043126546961867106,0.00043100184889118985
10,ICE_SB,2020-01-16,0.0010140624932865,-0.9873812,-0.0010012662616394438,0.012914866857768,-0.0010338974351738032,-0.0010665286087081624,-0.0010991597822425218,-0.001131790955776881,-0.0011644221293112403,-0.0011970533028455997
11,ICE_SB,2020-01-17,0.0,-0.26558006,-0.0,0.0127055396391822,-2.624508420006035e-05,-5.24901684001207e-05,-7.873525260018104e-05,-0.0001049803368002414,-0.00013122542100030174,-0.0001574705052003621
12,ICE_SB,2020-01-20,0.00522791164699,-0.4263862,-0.002229109419479908,0.0125082024626194,-0.002235339139621152,-0.0022415688597623965,-0.0022477985799036412,-0.0022540283000448856,-0.00226025802018613,-0.0022664877403273742
13,ICE_SB,2020-01-21,0.0057978452717491,-0.10912739,-0.0006327037070811754,0.0123212298530654,-0.0006446245518932689,-0.0006565453967053625,-0.000668466241517456,-0.0006803870863295496,-0.0006923079311416431,-0.0007042287759537367
14,ICE_SB,2020-01-22,-0.0047770888065211,-0.14272867,0.0006818275386652445,0.0121432856974028,0.0006804589043038268,0.0006790902699424091,0.0006777216355809913,0.0006763530012195736,0.0006749843668581558,0.0006736157324967381
15,ICE_SB,2020-01-23,-0.0096776701160681,-0.981894,0.009502446378362287,0.0120623833867005,0.00946954097204209,0.009436635565721892,0.009403730159401694,0.009370824753081496,0.009337919346761299,0.0093050139404411
16,ICE_SB,2020-01-24,-0.0097048739740585,-0.85065776,0.008255526366500706,0.0121790327903124,0.008250067029335064,0.008244607692169422,0.008239148355003782,0.00823368901783814,0.008228229680672498,0.008222770343506856
17,ICE_SB,2020-01-27,0.0178739997068696,0.5653797,0.010105596220345047,0.0122769109053237,0.010050839388545032,0.009996082556745016,0.009941325724945,0.009886568893144985,0.009831812061344968,0.009777055229544952
18,ICE_SB,2020-01-28,-0.002566383519607,0.4456277,-0.0011436515578580866,0.012661204654757,-0.001148780519134231,-0.001153909480410375,-0.0011590384416865192,-0.0011641674029626635,-0.0011692963642388077,-0.0011744253255149518
19,ICE_SB,2020-01-29,0.0052166679404322,0.15073483,0.0007863335391127676,0.0125005583024358,0.0007754018310280305,0.0007644701229432932,0.000753538414858556,0.0007426067067738189,0.0007316749986890816,0.0007207432906043444
20,ICE_SB,2020-01-30,0.0010514229907042,0.014369292,1.5108204163150805e-05,0.0123193621773061,9.962289231401054e-06,4.816374299651304e-06,-3.2954063209844724e-07,-5.475455563848197e-06,-1.0621370495597947e-05,-1.5767285427347698e-05
21,ICE_SB,2020-01-31,0.0149442016607246,-0.17761007,-0.002654240695782382,0.0121178642961425,-0.0026617164924000515,-0.0026691922890177207,-0.00267666808563539,-0.002684143882253059,-0.0026916196788707284,-0.0026990954754883972
22,ICE_SB,2020-02-03,-0.0092993721014512,0.13106549,-0.0012188267412835637,0.0122833031490525,-0.0012307926693636223,-0.0012427585974436807,-0.0012547245255237394,-0.0012666904536037978,-0.0012786563816838564,-0.0012906223097639148
23,ICE_SB,2020-02-04,0.0010372360514871,-0.9965071,-0.0010336130982001425,0.0123859895241116,-0.0010766654230956949,-0.0011197177479912474,-0.0011627700728867997,-0.001205822397782352,-0.0012488747226779046,-0.001291927047573457
