,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96
2021,0.2068423,0.119370066,0.12885357,0.10843771,0.08726679,0.14050938,0.03717492,0.17155145
2022,0.12744462,0.13181588,0.17511018,0.14000097,0.07934374,0.1327842,0.09468008,0.11882115
