Trade Date,Settle
2012-02-21,34.6
2012-02-22,33.65
2012-02-23,33.4
2012-02-24,32.95
2012-02-27,33.15
2012-02-28,32.8
2012-02-29,33.2
2012-03-01,32.6
2012-03-02,32.65
2012-03-05,33.5
2012-03-06,35.4
2012-03-07,34.5
2012-03-08,33.35
2012-03-09,33.55
2012-03-12,34.0
2012-03-13,32.6
2012-03-14,32.9
2012-03-15,32.45
2012-03-16,31.7
2012-03-19,31.35
2012-03-20,31.75
2012-03-21,30.4
2012-03-22,30.05
2012-03-23,29.0
2012-03-26,27.9
2012-03-27,28.3
2012-03-28,29.3
2012-03-29,29.0
2012-03-30,29.1
2012-04-02,27.85
2012-04-03,28.0
2012-04-04,28.65
2012-04-05,28.7
2012-04-09,29.05
2012-04-10,31.05
2012-04-11,30.95
2012-04-12,29.2
2012-04-13,30.85
2012-04-16,30.65
2012-04-17,29.55
2012-04-18,31.3
2012-04-19,29.8
2012-04-20,29.15
2012-04-23,30.5
2012-04-24,29.45
2012-04-25,29.05
2012-04-26,28.2
2012-04-27,28.1
2012-04-30,28.65
2012-05-01,27.85
2012-05-02,27.6
2012-05-03,28.0
2012-05-04,30.3
2012-05-07,29.9
2012-05-08,31.0
2012-05-09,32.6
2012-05-10,32.3
2012-05-11,33.55
2012-05-14,37.5
2012-05-15,38.75
2012-05-16,37.99
2012-05-17,41.55
2012-05-18,41.7
2012-05-21,38.75
2012-05-22,39.25
2012-05-23,40.3
2012-05-24,39.8
2012-05-25,39.35
2012-05-29,38.2
2012-05-30,39.7
2012-05-31,39.6
2012-06-01,41.15
2012-06-04,40.75
2012-06-05,39.4
2012-06-06,38.5
2012-06-07,37.85
2012-06-08,38.1
2012-06-11,39.3
2012-06-12,38.7
2012-06-13,40.75
2012-06-14,40.7
2012-06-15,38.55
2012-06-18,34.7
2012-06-19,32.5
2012-06-20,32.07
2012-06-21,36.1
2012-06-22,36.0
2012-06-25,37.3
2012-06-26,36.2
2012-06-27,35.65
2012-06-28,35.6
2012-06-29,32.65
2012-07-02,31.55
2012-07-03,30.8
2012-07-05,30.8
2012-07-06,31.75
2012-07-09,31.75
2012-07-10,32.25
