Trade Date,Settle
2012-03-26,30.95
2012-03-27,30.55
2012-03-28,30.85
2012-03-29,31.25
2012-03-30,31.05
2012-04-02,30.25
2012-04-03,29.35
2012-04-04,30.0
2012-04-05,29.85
2012-04-09,30.05
2012-04-10,30.95
2012-04-11,30.8
2012-04-12,30.65
2012-04-13,30.85
2012-04-16,30.8
2012-04-17,29.6
2012-04-18,28.35
2012-04-19,28.4
2012-04-20,27.65
2012-04-23,27.1
2012-04-24,26.9
2012-04-25,26.55
2012-04-26,26.0
2012-04-27,25.8
2012-04-30,25.9
2012-05-01,25.8
2012-05-02,26.0
2012-05-03,28.05
2012-05-04,30.6
2012-05-07,29.95
2012-05-08,30.05
2012-05-09,30.25
2012-05-10,29.85
2012-05-11,30.25
2012-05-14,31.3
2012-05-15,32.65
2012-05-16,32.13
2012-05-17,33.65
2012-05-18,34.45
2012-05-21,34.0
2012-05-22,31.85
2012-05-23,32.85
2012-05-24,32.4
2012-05-25,32.4
2012-05-29,32.0
2012-05-30,32.55
2012-05-31,35.25
2012-06-01,40.9
2012-06-04,38.8
2012-06-05,37.9
2012-06-06,36.4
2012-06-07,36.75
2012-06-08,38.0
2012-06-11,41.75
2012-06-12,40.05
2012-06-13,39.9
2012-06-14,37.2
2012-06-15,37.65
2012-06-18,35.55
2012-06-19,33.55
2012-06-20,34.58
2012-06-21,39.1
2012-06-22,37.3
2012-06-25,37.8
2012-06-26,36.55
2012-06-27,35.8
2012-06-28,36.9
2012-06-29,36.3
2012-07-02,36.9
2012-07-03,38.55
2012-07-05,38.55
2012-07-06,39.05
2012-07-09,38.1
2012-07-10,38.65
2012-07-11,37.55
2012-07-12,35.55
2012-07-13,35.2
2012-07-16,34.45
2012-07-17,35.65
2012-07-18,35.51
2012-07-19,36.6
2012-07-20,36.3
2012-07-23,38.1
2012-07-24,37.5
2012-07-25,36.65
2012-07-26,36.1
2012-07-27,34.85
2012-07-30,34.65
2012-07-31,35.3
2012-08-01,34.95
2012-08-02,34.8
2012-08-03,33.8
2012-08-06,32.6
2012-08-07,32.55
2012-08-08,32.2
2012-08-09,31.7
2012-08-10,31.6
2012-08-13,30.6
2012-08-14,30.95
2012-08-15,31.7
2012-08-16,32.35
2012-08-17,32.75
2012-08-20,31.2
2012-08-21,30.95
2012-08-22,30.99
2012-08-23,34.7
2012-08-24,35.1
2012-08-27,35.0
2012-08-28,34.9
2012-08-29,34.9
2012-08-30,34.5
2012-08-31,34.05
2012-09-04,34.25
2012-09-05,34.45
2012-09-06,34.8
2012-09-07,33.65
2012-09-10,32.7
2012-09-11,32.6
2012-09-12,33.4
2012-09-13,33.2
2012-09-14,33.9
2012-09-17,34.3
2012-09-18,35.35
2012-09-19,32.82
2012-09-20,35.3
2012-09-21,35.1
2012-09-24,35.25
2012-09-25,34.9
2012-09-26,35.6
2012-09-27,35.55
