date,t,cp_location,cp_location_norm,cp_score
1990-01-02,126,58.80200048031122,0.5333174565054665,0.9999654929165664
1990-01-03,127,62.45969628355744,0.512224632670179,0.9999781163336562
1990-01-04,128,58.97053242793122,0.5478529172386412,0.9996848787186627
1990-01-05,129,58.97331175662467,0.5557673670109153,0.9995513694234193
1990-01-08,130,58.91654804869428,0.5641543805659184,0.9997056365605188
1990-01-09,131,58.88192957544886,0.5723656382900885,0.9998201312294449
1990-01-10,132,58.90787498366635,0.5800962302883623,0.9998034188408851
1990-01-11,133,58.869387144933135,0.5883381972624354,0.9952814759343638
1990-01-12,134,54.75316989873571,0.6289430960417801,0.9991655365971058
1990-01-15,135,124.30044819739805,0.08491707779842814,0.9998034912981577
1990-01-16,136,135.9999884400615,9.17455437617704e-08,0.9999999999993309
1990-01-17,137,136.99983558394206,1.3048893487437107e-06,0.9999999999999761
1990-01-18,138,133.0207646612634,0.039517740783623814,0.999999999999951
1990-01-19,139,130.7634670136685,0.06536930941532934,0.999999999999906
1990-01-22,140,129.4962154270165,0.08336336962685321,0.9999999999999849
1990-01-23,141,128.89633215598587,0.09606085590487401,0.9999999999999509
1990-01-24,142,128.49914361164156,0.10714965387586066,0.9999999999998468
1990-01-25,143,128.23046913950017,0.11721849889285578,0.9999999999997087
1990-01-26,144,127.97861375832473,0.12715385906091486,0.9999999999991896
1990-01-29,145,127.78851923020294,0.1365990537285481,0.9999999999976881
1990-01-30,146,127.0119493655224,0.15069881455934606,0.9999999999962482
1990-01-31,147,127.33940920328135,0.15603643489459246,0.999999999992879
1990-02-01,148,127.06348024134587,0.16616285522741372,0.999999999989734
1990-02-02,149,127.02368282468352,0.17441521567711493,0.9999999999908131
1990-02-05,150,127.35350835948995,0.17973406063896866,0.9999999999765998
1990-02-06,151,127.35096835734588,0.18769072732265177,0.9999999999476195
1990-02-07,152,127.20666256351373,0.19677251933719261,0.9999999998720016
1990-02-08,153,127.00403137011475,0.20631721134829567,0.9999999999146122
1990-02-09,154,127.3393899170569,0.21159214351542138,0.9999999997724536
1990-02-12,155,127.01543509106646,0.2220997214994725,0.9999999995239673
1990-02-13,156,127.01969308541962,0.23000243583000304,0.9999999991002501
1990-02-14,157,127.0142220697762,0.23798236452558574,0.9999999979253794
1990-02-15,158,127.30050023099552,0.24364682356352757,0.9999999989486553
1990-02-16,159,127.37260315150066,0.25101108609920114,0.9999999998082115
1990-02-20,160,127.00584110540606,0.2618584039253487,0.9999999998348817
1990-02-21,161,127.01418961730289,0.2697286538309294,0.9999999996845722
1990-02-22,162,127.31357737202983,0.27528906847595375,0.999999999218325
1990-02-23,163,127.33236855236923,0.28307644006056165,0.9999999999454203
1990-02-26,164,127.0034838804468,0.2936231438059778,0.9999999999396177
1990-02-27,165,127.01387736139102,0.30147716379848394,0.999999999855579
1990-02-28,166,127.01109024453098,0.30943579171007163,0.9999999997863808
1990-03-01,167,127.01473220934467,0.3173433951639312,0.9999999999296733
1990-03-02,168,127.01400155923287,0.32528570191085027,0.9999999998857709
1990-03-05,169,127.00435771091173,0.33329874832609735,0.9999999999108232
1990-03-06,170,127.00086425715187,0.34126298208609623,0.9999999998746425
1990-03-07,171,127.01252089819015,0.3491069769984909,0.99999999979517
1990-03-08,172,127.03191584494243,0.3568895567861712,0.9999999996884309
1990-03-09,173,127.06909397536123,0.3645310001955458,0.9999999995065374
1990-03-12,174,127.03117607661397,0.372768443836397,0.9999999989756234
1990-03-13,175,127.01542592434316,0.3808299529814035,0.9999999980067511
1990-03-14,176,127.0232053264914,0.3887047196310207,0.9999999980404854
1990-03-15,177,127.04194680165043,0.3964924857011871,0.9999999989224779
1990-03-16,178,127.0240214429545,0.40457125838924995,0.9999999999010271
1990-03-19,179,127.16670001950534,0.41137539667059253,0.9999999999992806
1990-03-20,180,125.92014233948545,0.42920521952789326,0.999999999999999
1990-03-21,181,126.48053029752192,0.43269420398792124,0.9999999999999981
1990-03-22,182,127.21118845989172,0.434831837619907,0.9999999999999986
1990-03-23,183,127.08865215431484,0.44374085591813617,0.9999999999999979
1990-03-26,184,127.20744144079471,0.4507345917397245,0.9999999999999959
1990-03-27,185,127.18795226166783,0.45882577570104893,0.999999999999998
1990-03-28,186,125.69066177664835,0.4786455414551718,0.9999999999999893
1990-03-29,187,126.35029022413728,0.48134690298303745,0.9999999999999634
1990-03-30,188,126.26691593984471,0.48994511158853404,0.999999999999986
1990-04-02,189,126.33352671985241,0.49735296254085387,0.9999999999999686
1990-04-03,190,125.56342649154223,0.5114013770512521,0.9999999999999774
1990-04-04,191,125.51018429711834,0.5197604420863624,0.9999999999999567
1990-04-05,192,125.4772902402656,0.5279580139661461,0.9999999999999358
1990-04-06,193,126.1940300110997,0.5302061110230183,0.9999999999998128
1990-04-09,194,125.46472332944853,0.5439307672265989,0.9999999999999197
1990-04-10,195,126.31447133357746,0.5451232433843058,0.9999999999999385
1990-04-11,196,126.28315188019596,0.5533083184111431,0.9999999999998453
1990-04-12,197,126.2908716841664,0.5611835580621714,0.9999999999998935
1990-04-16,198,126.27866518241828,0.5692169429966804,0.9999999999996986
1990-04-17,199,126.24539149040005,0.5774175278539678,0.9999999999993616
1990-04-18,200,175.0082009918466,0.1983476111758207,0.7495293516483676
1990-04-19,201,175.00052301144603,0.20634505546471402,0.7157182826401727
1990-04-20,202,175.00391844672674,0.2142546155021687,0.688567830353759
1990-04-23,203,157.01797518905013,0.36493670484880847,0.9001844563283206
1990-04-24,204,157.01890307830445,0.37286584858488536,0.8842779290095574
1990-04-25,205,157.02106440606417,0.38078520312647485,0.8584022187189599
1990-04-26,206,157.02344346794155,0.3887028296195115,0.8388149422797345
1990-04-27,207,157.06731454649827,0.3962911543928709,0.8113710341438999
1990-04-30,208,157.01827092261397,0.4046168974395717,0.7843839669160424
1990-05-01,209,157.0366868998169,0.41240724682684987,0.765881216303494
1990-05-02,210,157.01724153027396,0.4204980830930638,0.7521298702454045
1990-05-03,211,157.0231492862486,0.42838770407739196,0.7229201975491178
1990-05-04,212,157.01922656941457,0.43635534468718595,0.7256187270848808
1990-05-07,213,157.06178849741934,0.4439540595442909,0.7358147180780852
1990-05-08,214,157.0216783012851,0.4522089023707531,0.712008799662409
1990-05-09,215,157.04699093155676,0.45994451641621614,0.68564957774369
1990-05-10,216,149.66404460121032,0.5264758364983307,0.807587051437661
1990-05-11,217,149.52329580517923,0.5355293983715934,0.8050551220610347
1990-05-14,218,149.6950236938118,0.5421029865570491,0.8470728268879897
1990-05-15,219,149.31064398903376,0.5530901270711606,0.8060884851914022
1990-05-16,220,94.0,1.0,0.9966574509784598
1990-05-17,221,149.0405824240568,0.571106488697962,0.8096262861512473
1990-05-18,222,141.75850556328447,0.6368372574342502,0.7931802019161893
1990-05-21,223,148.61894369474473,0.5903258436925022,0.8180370169294842
1990-05-22,224,160.4199062412181,0.5046039187204914,0.5858564624032729
1990-05-23,225,138.98069120827677,0.6826929269184384,0.7457143631513656
1990-05-24,226,138.97692861402845,0.6906592967140599,0.714811254985181
1990-05-25,227,172.95504016929135,0.4289282526246718,0.7059211652891726
1990-05-29,228,173.3845409032325,0.4334560245775198,0.7554590807351317
1990-05-30,229,197.9801058869476,0.2461896358178762,0.9927697324478532
1990-05-31,230,164.06777542765556,0.5232716235900352,0.6711272914798665
1990-06-01,231,172.97897589924796,0.46048431825993685,0.7932333923034562
1990-06-04,232,172.94354555956676,0.4687020193685178,0.8235338735606733
1990-06-05,233,172.9725948133523,0.47640797767180726,0.8481544152986066
1990-06-06,234,173.1891421812508,0.48262585570435884,0.8866013339786067
1990-06-07,235,173.15015469177604,0.49087178816050764,0.9024416552088
1990-06-08,236,173.1173672602508,0.4990685138075333,0.9177412896181053
1990-06-11,237,173.09605566846665,0.5071741613613758,0.9295118740293531
1990-06-12,238,197.97907717226002,0.31762637164873,0.999647241569153
1990-06-13,239,197.98663182488724,0.32550292202470443,0.9996826475038982
1990-06-14,240,183.99807561806546,0.44445971731694084,0.9985280371540898
1990-06-15,241,197.98259333186695,0.34140798942962736,0.9998669685243233
1990-06-18,242,197.91263594548394,0.34989971471838144,0.9998905593197961
1990-06-19,243,183.9774074552507,0.468433274164677,0.9992803858520866
1990-06-20,244,183.9820823507547,0.47633267975591514,0.9982265364919649
1990-06-21,245,183.9885554961728,0.48421781352243803,0.9988604636884646
1990-06-22,246,197.97487115991396,0.38115181619115907,0.999748501748082
1990-06-25,247,197.97874879504195,0.3890575492456988,0.9998467882918424
1990-06-26,248,183.92331668064392,0.5085451057091752,0.9996438692812895
