date,t,cp_location,cp_location_norm,cp_score
1993-09-20,126,9.903670600233029e-307,1.0,nan
1993-09-21,127,71.01042169273205,0.44436173259736467,0.9999979823904445
1993-09-22,128,71.00714217277798,0.45232426847001606,0.999998361824838
1993-09-23,129,71.00380357156511,0.4602872732415467,0.999996905603048
1993-09-24,130,71.02064711887647,0.4680901022311391,0.9999995541752517
1993-09-27,131,71.00863702663057,0.4761219283600749,0.9999996226834219
1993-09-28,132,71.06700021112637,0.483595236419632,0.9999996221528616
1993-09-29,133,61.95764476017506,0.5638282161890869,0.9999995376378122
1993-09-30,134,71.28577536014353,0.49773194158616246,0.9999997986599394
1993-10-01,135,62.567933157175354,0.5748576733557511,0.9999981905696588
1993-10-04,136,112.37115953213471,0.18753047990369276,0.9961419964569266
1993-10-05,137,98.03340075164772,0.30925872419327205,0.9764193962303235
1993-10-06,138,71.02938404412842,0.5315128250465998,0.9999993681907238
1993-10-07,139,71.32275027207001,0.5371210295867459,0.9999988974286537
1993-10-08,140,71.0151181194048,0.5474990625444063,0.9999978695455717
1993-10-11,141,71.29324248400316,0.5532282342539432,0.9999966866736413
1993-10-13,142,71.08794858867773,0.562794058820018,0.9999945588630884
1993-10-14,143,71.2765952364756,0.5692333711390826,0.9999960685561236
1993-10-15,144,71.01658460742814,0.579233455496602,0.9999993091854656
1993-10-18,145,71.31208491618321,0.5848247228874348,0.9999987139332378
1993-10-19,146,71.02116126490624,0.5950701486912203,0.99999775055927
1993-10-20,147,53.37838399560627,0.7430286984475692,0.9999629629477431
1993-10-21,148,112.00123324542142,0.285704498052211,0.9529594384501443
1993-10-22,149,112.28598321216428,0.2913810856177438,0.9365211477992387
1993-10-25,150,80.34408790318129,0.5528246991811009,0.9997795581409035
1993-10-26,151,112.02979214690998,0.3092873639134128,0.9650425702059249
1993-10-27,152,112.26238697126529,0.31537788118043425,0.9507879678906
1993-10-28,153,112.02065791993462,0.32523287365131254,0.9537740226576913
1993-10-29,154,112.00566208932511,0.3332883961164674,0.9664393876976514
1993-11-01,155,112.00576235664339,0.34122410828060806,0.9798139472602705
1993-11-02,156,112.08195062611222,0.3485559474118078,0.9861808074729168
1993-11-04,157,112.00797238129267,0.35707958427545494,0.9851933724495374
1993-11-05,158,98.01618272409046,0.47606204187229795,0.9374491920349153
1993-11-08,159,98.01240421280036,0.4840285379936479,0.9341322336365603
1993-11-09,160,98.008624783183,0.4919950414033096,0.9190423101569551
1993-11-10,161,98.00813764608938,0.49993541550722714,0.8999987515655378
1993-11-11,162,98.0206354384863,0.5077727346151881,0.8988318709927919
1993-11-12,163,112.01589959758884,0.40463571747945365,0.9597349198132895
1993-11-15,164,112.00726068737441,0.4126407881954412,0.9486537830746519
1993-11-16,165,112.00125715239334,0.4206249432349735,0.9367601266021334
1993-11-17,166,112.00469488214388,0.4285341676020327,0.948014104895745
1993-11-18,167,112.01111657636228,0.4364197097114105,0.9516932925230877
1993-11-19,168,112.00141415286845,0.4444332210089806,0.9376220566146377
1993-11-22,169,112.00425171357388,0.45234720862242955,0.9226715272885405
1993-11-23,170,112.0049845640193,0.46027790028556115,0.9532969892632539
1993-11-25,171,112.29964189598341,0.4658758579683856,0.9919275523130223
1993-11-26,172,112.00261148165201,0.47616975014561896,0.9909137618538914
1993-11-29,173,112.00114262671471,0.4841179156609944,0.9897712810808247
1993-11-30,174,112.01749137392555,0.4919246716355115,0.9909441516342221
1993-12-01,175,112.02255202966215,0.49982101563760195,0.9884692179664981
1993-12-02,176,112.01311092531395,0.5078324529736988,0.9940638940141461
1993-12-03,177,169.47876435869725,0.05969234635954565,0.9996795333116261
1993-12-06,178,112.32363351227934,0.5212410038707989,0.9928764170645533
1993-12-07,179,112.00161738220513,0.5317331953793244,0.9914166345260753
1993-12-08,180,112.26828720988496,0.5375532761120241,0.9860100542055895
1993-12-09,181,112.32950693774796,0.5450039131924764,0.9851550075808553
1993-12-10,182,130.0028563767749,0.41267574304146903,0.9809682631627449
1993-12-13,183,130.00472635415065,0.4205974098876933,0.985608171487223
1993-12-14,184,125.00800500709482,0.4681904364516284,0.9896289625239502
1993-12-15,185,130.00840292229356,0.43644124664846384,0.9778234181485884
1993-12-16,186,125.01205225450657,0.4840313313134399,0.9819105341398108
1993-12-17,187,125.00880438135229,0.49199361602101355,0.9788773163385565
1993-12-20,188,112.00394014505295,0.6031433321821195,0.9796998260901241
1993-12-21,189,112.00476677540506,0.6110732795602773,0.972280369014348
1993-12-22,190,149.02253881090292,0.32521794594521497,0.9956924072379851
1993-12-29,191,130.2400030125411,0.4822221983131658,0.9326687669735197
1993-12-30,192,130.0015296915227,0.4920513516545817,0.9387244974183719
1993-12-31,193,130.3066068156915,0.4975666125738769,0.9058533641518524
1994-01-04,194,130.00112628817797,0.5079275691414447,0.9431976754329009
1994-01-05,195,125.01195230963782,0.5554606959552554,0.9834740957414092
1994-01-06,196,165.50275827664302,0.24204160097902364,0.9996926249180869
1994-01-07,197,166.71412368627193,0.24036409772800055,0.9993618774734778
1994-01-10,198,166.97782744824474,0.2462077186647243,0.9996214294530288
1994-01-11,199,153.0092642725362,0.3650058391068556,0.9989745455615987
1994-01-12,200,153.01116404965245,0.3729272694472028,0.9990913679058175
1994-01-13,201,153.00938008462734,0.380877935836291,0.9989681940638024
1994-01-14,202,153.036201166264,0.38860157804552387,0.9988684547120598
1994-01-17,203,153.0197189089421,0.3966688975480785,0.9985661439885601
1994-01-18,204,165.32351011746573,0.30695626890900213,0.9994070118936369
1994-01-19,205,147.37570806651166,0.45733565026578044,0.998906354325332
