,identifier,time,returns,position,captured_returns,daily_vol,captured_returns_0_5_bps,captured_returns_1_0_bps,captured_returns_1_5_bps,captured_returns_2_0_bps,captured_returns_2_5_bps,captured_returns_3_0_bps
0,bitcoin,2022-01-01,0.0079022457129505,-0.576507,-0.0045556997504459015,0.0320984775512668,-0.0045556997504459015,-0.0045556997504459015,-0.0045556997504459015,-0.0045556997504459015,-0.0045556997504459015,-0.0045556997504459015
1,bitcoin,2022-01-02,-0.0021863777787948,0.9263572,-0.0020253668184760957,0.0322082251497245,-0.0020437084101094737,-0.002062050001742852,-0.00208039159337623,-0.002098733185009608,-0.0021170747766429865,-0.0021354163682763645
2,bitcoin,2022-01-03,-0.0044744311177916,0.8404278,-0.0037604363717839216,0.0316997459546234,-0.0037613194053922926,-0.003762202439000663,-0.003763085472609034,-0.0037639685062174047,-0.0037648515398257757,-0.0037657345734341467
3,bitcoin,2022-01-04,-0.0031970481216967,-0.90439624,0.002891398287390624,0.0313034369723996,0.0028696486847274013,0.002847899082064178,0.002826149479400955,0.002804399876737732,0.002782650274074509,0.0027609006714112857
4,bitcoin,2022-01-05,-0.0126969394281125,0.9065621,-0.011510563943537874,0.030837218171617,-0.011533446566964582,-0.01155632919039129,-0.011579211813818,-0.011602094437244708,-0.011624977060671416,-0.011647859684098124
5,bitcoin,2022-01-06,-0.0024621871961485,0.8276307,-0.0020377817094314942,0.0314652728072281,-0.002038996833557605,-0.0020402119576837154,-0.002041427081809826,-0.0020426422059359366,-0.002043857330062047,-0.0020450724541881578
6,bitcoin,2022-01-07,-0.0099130065106869,0.9628674,-0.009544910598824004,0.0309590180827998,-0.009546794284029592,-0.009548677969235182,-0.00955056165444077,-0.009552445339646358,-0.009554329024851947,-0.009556212710057535
7,bitcoin,2022-01-08,0.0013967377165667,0.9292825,0.0012979638981538866,0.031060921253647,0.0012974993741367053,0.001297034850119524,0.0012965703261023425,0.0012961058020851612,0.0012956412780679798,0.0012951767540507985
8,bitcoin,2022-01-09,0.0006491105797,0.96435577,0.0006259735308072053,0.0306175087103391,0.0006253537396579935,0.0006247339485087816,0.0006241141573595699,0.000623494366210358,0.0006228745750611462,0.0006222547839119344
9,bitcoin,2022-01-10,4.664734841118457e-05,0.91902703,4.287017408953653e-05,0.0301469675532059,4.247290275042473e-05,4.207563141131292e-05,4.1678360072201124e-05,4.128108873308932e-05,4.088381739397752e-05,4.048654605486571e-05
10,bitcoin,2022-01-11,0.0057354917292509,0.861661,0.004942049636083429,0.0296652801528907,0.004941484817261758,0.004940919998440086,0.004940355179618414,0.004939790360796743,0.004939225541975071,0.0049386607231534
11,bitcoin,2022-01-12,0.0074772325705301,0.9277454,0.006936968135941771,0.0295704705449321,0.006936054262199224,0.006935140388456677,0.006934226514714131,0.006933312640971584,0.006932398767229037,0.0069314848934864896
12,bitcoin,2022-01-13,-0.0082664627044125,-0.9254716,0.007650376497387413,0.0296598999762986,0.007625810835653773,0.007601245173920134,0.007576679512186494,0.007552113850452855,0.007527548188719215,0.007502982526985575
13,bitcoin,2022-01-14,0.0031901204874273,-0.36625814,-0.001168407610069476,0.0295998321209631,-0.0011757993250337325,-0.001183191039997989,-0.0011905827549622452,-0.0011979744699265017,-0.0012053661848907581,-0.0012127578998550146
14,bitcoin,2022-01-15,0.0006584526807852,0.9495016,0.000625201856836049,0.0292550709457934,0.0006076031841897499,0.0005900045115434508,0.0005724058388971516,0.0005548071662508525,0.0005372084936045535,0.0005196098209582544
15,bitcoin,2022-01-16,-0.0006741043826135,0.9441567,-0.0006364601736131108,0.0287921204383186,-0.0006365921651442345,-0.0006367241566753582,-0.0006368561482064819,-0.0006369881397376056,-0.0006371201312687294,-0.0006372521227998531
16,bitcoin,2022-01-17,-0.0052821083909224,0.92914426,-0.004907840709382764,0.0283166932230687,-0.0049078487207752245,-0.004907856732167685,-0.004907864743560146,-0.004907872754952607,-0.004907880766345067,-0.004907888777737528
17,bitcoin,2022-01-18,0.0006440383274857,0.84964913,0.0005472066054708838,0.0279903322432599,0.0005462418680931665,0.0005452771307154491,0.0005443123933377319,0.0005433476559600146,0.0005423829185822972,0.00054141818120458
18,bitcoin,2022-01-19,-0.0043418232613452,0.84163666,-0.0036542376180671364,0.0275501254029207,-0.0036543138509612994,-0.0036543900838554625,-0.0036544663167496255,-0.0036545425496437886,-0.003654618782537952,-0.003654695015432115
19,bitcoin,2022-01-20,-0.0072103288546826,0.8363051,-0.0060300346629398646,0.0271738430952781,-0.006030123705902168,-0.006030212748864472,-0.006030301791826777,-0.006030390834789081,-0.006030479877751385,-0.0060305689207136885
20,bitcoin,2022-01-21,-0.0300093503181525,0.82045203,-0.02462123252175377,0.0269864395856744,-0.024621379234057206,-0.024621525946360644,-0.024621672658664082,-0.02462181937096752,-0.024621966083270958,-0.024622112795574396
21,bitcoin,2022-01-22,-0.0089597488829655,0.82132494,-0.007358865254001124,0.0318836943604484,-0.007360687692243921,-0.007362510130486719,-0.007364332568729516,-0.0073661550069723135,-0.007367977445215111,-0.007369799883457908
22,bitcoin,2022-01-23,0.0079099283702629,0.67332244,0.005325932264113067,0.0317686982030154,0.005324139992591856,0.005322347721070646,0.005320555449549435,0.005318763178028225,0.005316970906507014,0.005315178634985804
23,bitcoin,2022-01-24,0.0031505072111208,-0.3408765,-0.0010739338394612427,0.0320961850854255,-0.0010864233858952205,-0.0010989129323291983,-0.001111402478763176,-0.0011238920251971539,-0.0011363815716311316,-0.0011488711180651094
