date,t,cp_location,cp_location_norm,cp_score
2016-05-10,6643,6633.645394370498,0.44545741092865465,0.7019312312706316
2016-05-11,6644,6633.590159312057,0.49570669942585527,0.7022497692599493
2016-05-12,6645,6633.302311663078,0.5570327779486477,0.6682314356271628
2016-05-13,6646,6632.966437136947,0.6206458506215616,0.6569527885746622
2016-05-16,6647,6636.997979807959,0.476286675811458,0.5833511821966375
2016-05-17,6648,6636.996818531184,0.5239610223245889,0.6025086238696329
2016-05-18,6649,6639.7080899088,0.4424719091047813,0.8023395174437532
2016-05-19,6650,6639.675819809294,0.49162762812886196,0.79200371597647
2016-05-20,6651,6636.998772134715,0.6667251364421342,0.727491108119264
2016-05-23,6652,6636.99997782621,0.7142867701804789,0.8487714672785314
2016-05-24,6653,6646.002572018619,0.33321085625625746,0.7337902301921293
2016-05-25,6654,6645.616497227611,0.39921441773280786,0.791239503235132
2016-05-26,6655,6645.310050027885,0.461426189148326,0.856003984111185
2016-05-27,6656,6644.974455670589,0.525025920448137,0.9086211305610431
2016-05-31,6657,6644.946038866471,0.573998149215662,0.93122552644005
2016-06-01,6658,6644.693464833256,0.633644531749702,0.9112648259506598
2016-06-02,6659,6644.987186664934,0.6672768254793482,0.9477411539426862
2016-06-03,6660,6645.154060817315,0.706949484889741,0.8380636952069974
2016-06-06,6661,6654.473077203539,0.31080584745051876,0.7489188314694593
2016-06-07,6662,6641.000002892944,0.9999998622407431,0.8554577356100869
2016-06-08,6663,6654.684061883418,0.39599705317059053,0.7938733112765186
2016-06-09,6664,6659.513555930127,0.21364019380347427,0.8477695847964009
2016-06-10,6665,6657.479757753362,0.35810677364943766,0.7322241270665064
2016-06-13,6666,6657.676658350109,0.39634960237574324,0.76262763383019
2016-06-14,6667,6659.4932873675425,0.35746250630749965,0.9161400833729003
2016-06-15,6668,6659.039914286845,0.4266707482454963,0.6954474400786652
2016-06-16,6669,6658.9895099978885,0.4766900001005481,0.6306426840918842
2016-06-17,6670,6653.777356151481,0.7725068499294572,0.7163272767512534
2016-06-20,6671,6670.9929141972725,0.00033741917749943067,0.667147911181023
2016-06-21,6672,6666.004220897327,0.28551329060346253,0.6493186163550257
2016-06-22,6673,6666.436242004992,0.31255990452419136,0.5624885680543477
2016-06-23,6674,6666.006048032371,0.38066437941090825,0.6234610305661772
2016-06-24,6675,6666.282034275946,0.4151412249549529,0.6308464159370543
2016-06-27,6676,6666.008620645587,0.47577996925775506,0.646738985745609
2016-06-28,6677,6666.002810174802,0.5236757059618045,0.6554415438897833
2016-06-29,6678,6677.999935043308,3.0931758027734414e-06,0.8040699002828235
2016-06-30,6679,6673.030467084327,0.2842634721749034,0.6811090365487313
2016-07-01,6680,6679.999972267413,1.3205993863742888e-06,0.6904429125871843
2016-07-05,6681,6677.991198246451,0.14327627397852621,0.7925063343633115
2016-07-06,6682,6677.965121701144,0.19213706185027626,0.8661384425495074
2016-07-07,6683,6677.899906588346,0.242861591031128,0.8506732873893125
2016-07-08,6684,6677.039075731002,0.3314725842379803,0.8259542312446246
2016-07-11,6685,6677.005158621874,0.380706732291704,0.8297227705938389
2016-07-12,6686,6677.562263122413,0.401796994170798,0.8154288737512518
2016-07-13,6687,6675.649097029728,0.5405191890605627,0.5136142618861234
2016-07-14,6688,6667.000212633122,0.999989874613242,0.7050094411563897
2016-07-15,6689,6681.025811578452,0.3797232581689622,0.8751373817212762
2016-07-18,6690,6681.0166595382,0.4277781172285835,0.9300658667212908
2016-07-19,6691,6681.0159815724055,0.47542944893307104,0.9539709292521995
2016-07-20,6692,6680.991903065978,0.5241950920963063,0.9644348343276489
2016-07-21,6693,6681.95419160672,0.525990875870472,0.7236911971215345
2016-07-22,6694,6680.987661162782,0.6196351827246482,0.8488663991674884
2016-07-25,6695,6680.986432062845,0.667312758912149,0.9102638420338348
